name	sex	wikipedia_url	jsp_url	recording_url	birth_date	birth_date_md	best_birth_date	best_birth_year	best_birth_month	best_birth_day	death_date	death_date_md	best_death_date	best_death_year	best_death_month	best_death_day	date	date_md	best_date	best_year	best_month	best_day	tagline	tagline_md	office	outcome	outcome_md	for	alt_for	notes	notes_md	+notes	+notes_md	unit	unit_md	location	location_md	friendly_location	country	adm1	adm2	adm3	adm4	best_location	best_country	best_adm1	best_adm2	best_adm3	best_adm4	sections	tags	birth_place	birth_place_md	rebaptism_date	rebaptism_date_md	baptism_date	baptism_date_md
Annalee Skarin	female	https://en.wikipedia.org/wiki/Annalee_Skarin			1899	1899	1899	1899.0			1988	1988	1988	1988.0			11 Jun 1952	11 Jun 1952	11 Jun 1952	1952	Jun	11.0	Self-proclaimed prophetess, New Age icon	Self-proclaimed prophetess, New Age icon		excommunicated	excommunicated			"Excommunicated for refusing, at apostle Mark E. Peterson's insistence, to repudiate her book of revelations, _Ye Are Gods_. Elder Peterson's rationale for the top-down decision to excommunicate Annalee Skarin reportedly included the objection that she ""attempts to give revelations on her own part and defends this fact even though she is a woman."" Soon after her excommunication she claimed to have been translated and seemingly spent the rest of her life in hiding with her husband, Reason Skarin. Her daughter, Hope Hilton, wrote, ""Annalee was a paranoid-schizophrenic who listened to an inner voice whose tapes were often garbled. She was a dramatic actress who sought center stage and applause while proclaiming her humility. She was a master of cover-up which only those on the inside could see."""	"[Excommunicated for refusing, at apostle Mark E. Peterson's insistence, to repudiate her book of revelations, _Ye Are Gods_](https://www.sunstonemagazine.com/pdf/081-42-46.pdf). Elder Peterson's rationale for the top-down decision to excommunicate Annalee Skarin reportedly included the objection that she ""attempts to give revelations on her own part and defends this fact even though she is a woman."" Soon after her excommunication she claimed to have been translated and seemingly spent the rest of her life in hiding with her husband, Reason Skarin. Her daughter, Hope Hilton, [wrote](https://www.sunstonemagazine.com/wp-content/uploads/sbi/articles/081-47-48.pdf), ""Annalee was a paranoid-schizophrenic who listened to an inner voice whose tapes were often garbled. She was a dramatic actress who sought center stage and applause while proclaiming her humility. She was a master of cover-up which only those on the inside could see."""					Utah, United States	Utah, United States	Utah	United States	Utah				Utah, United States	United States	Utah				['20th Century']							
Sandra Tanner	female	https://en.wikipedia.org/wiki/Jerald_and_Sandra_Tanner			14 Jan 1941	14 Jan 1941	14 Jan 1941	1941.0	Jan	14.0							7 Jul 1960	7 Jul 1960	7 Jul 1960	1960	Jul	7.0	_Utah Lighthouse Ministry_ co-founder, publisher on Mormonism	_Utah Lighthouse Ministry_ co-founder, publisher on Mormonism		excommunicated-at-own-request	excommunicated-at-own-request			"Excommunicated at her own request for ""[a]postacy, and engaging in activities contrary to the best interests of the church"". She and her husband, Jerald Tanner, left the church shortly after their wedding objecting to the church's treatment of its black members as well as historical research that painted a picture of early church leaders which they could not reconcile with belief. They went on to found the _Utah Lighthouse Ministry_ and publish widely on church topics, missionizing Mormons into mainstream Christianity."	"[Excommunicated at her own request for ""\[a\]postacy, and engaging in activities contrary to the best interests of the church""](https://web.archive.org/web/20191113065419/https://collections.lib.utah.edu/file?id=788232&nocache=true). She and her husband, Jerald Tanner, left the church shortly after their wedding objecting to the church's treatment of its black members as well as historical research that painted a picture of early church leaders which they could not reconcile with belief. They went on to found the _Utah Lighthouse Ministry_ and publish widely on church topics, missionizing Mormons into mainstream Christianity."			North Hollywood Ward, Burbank Stake	North Hollywood Ward, Burbank Stake	North Hollywood, Los Angeles, Los Angeles, California, United States	North Hollywood, Los Angeles, Los Angeles, California, United States	North Hollywood, Los Angeles, California	United States	California	Los Angeles	Los Angeles	North Hollywood	North Hollywood, Los Angeles, Los Angeles, California, United States	United States	California	Los Angeles	Los Angeles	North Hollywood	['20th Century']							
Jerald Tanner	male	https://en.wikipedia.org/wiki/Jerald_and_Sandra_Tanner			1 Jun 1938	1 Jun 1938	1 Jun 1938	1938.0	Jun	1.0	1 Oct 2006	1 Oct 2006	1 Oct 2006	2006.0	Oct	1.0	14 Aug 1960	14 Aug 1960	14 Aug 1960	1960	Aug	14.0	_Utah Lighthouse Ministry_ co-founder, publisher on Mormonism	_Utah Lighthouse Ministry_ co-founder, publisher on Mormonism		excommunicated-at-own-request	excommunicated-at-own-request			"Excommunicated at his own request for a ""voluntary request for [his] name to be stricken from the records [of the church] and teaching doctrines which are not in harmony with the Church of Jesus Christ of Latter-Day Saints"". He and his wife, Sandra Tanner, left the church shortly after their wedding objecting to the church's treatment of its black members as well as historical research that painted a picture of early church leaders which they could not reconcile with belief. They went on to found the _Utah Lighthouse Ministry_ and publish widely on church topics, missionizing Mormons into mainstream Christianity."	"[Excommunicated at his own request for a ""voluntary request for \[his\] name to be stricken from the records \[of the church\] and teaching doctrines which are not in harmony with the Church of Jesus Christ of Latter-Day Saints""](https://web.archive.org/web/20191113065419/https://collections.lib.utah.edu/file?id=788232&nocache=true). He and his wife, Sandra Tanner, left the church shortly after their wedding objecting to the church's treatment of its black members as well as historical research that painted a picture of early church leaders which they could not reconcile with belief. They went on to found the _Utah Lighthouse Ministry_ and publish widely on church topics, missionizing Mormons into mainstream Christianity."			Cannon Seventh Ward, Cannon Stake	Cannon Seventh Ward, Cannon Stake	Salt Lake City, Salt Lake, Utah, United States	Salt Lake City, Salt Lake, Utah, United States	Salt Lake City, Utah	United States	Utah	Salt Lake	Salt Lake City		Salt Lake City, Salt Lake, Utah, United States	United States	Utah	Salt Lake	Salt Lake City		['20th Century']							
John Singer	male	https://en.wikipedia.org/wiki/John_Singer_(anti-government_activist)			1931	1931	1931	1931.0			1979	1979	1979	1979.0			1972?	1972?	1972	1972			Polygamist, anti-government activist	Polygamist, anti-government activist		excommunicated	excommunicated			Excommunicated for refusal to sustain Joseph Fielding Smith as a prophet. He entered a polygamous relationship and went on to defy the government in a fight over homeschooling his children. He was shot in a confrontation with police when he refused to surrender his second (polygamous) wife's children (in legal custody of her now-ex-husband) to the state.	[Excommunicated for refusal to sustain Joseph Fielding Smith as a prophet](https://reason.com/1979/07/01/man-vs-state/). He entered a polygamous relationship and went on to defy the government in a fight over homeschooling his children. He was [shot in a confrontation with police](https://books.google.com/books?id=Fk6xCgAAQBAJ&pg=PA91&lpg=PA91&dq=john+singer+excommunication&source=bl&ots=w6kGWSHKwS&sig=ACfU3U2M0KyPzHiG3Ng2gm02U8QNbeLtsQ&hl=en&sa=X&ved=2ahUKEwiX1-Cj77PlAhU_FTQIHW7qDTcQ6AEwEHoECAkQAQ#v=onepage&q=john%20singer%20excommunication&f=false) when he [refused to surrender his second (polygamous) wife's children](https://www.uen.org/utah_history_encyclopedia/s/SINGER_JOHN.shtml) (in legal custody of her now-ex-husband) to the state.					Utah, United States	Utah, United States	Utah	United States	Utah				Utah, United States	United States	Utah				['20th Century']							
Ogden Kraut	male	https://en.wikipedia.org/wiki/Ogden_Kraut			21 Jun 1927	21 Jun 1927	21 Jun 1927	1927.0	Jun	21.0	17 Jul 2002	17 Jul 2002	17 Jul 2002	2002.0	Jul	17.0	1972	1972	1972	1972			Independent Mormon fundamentalist author	Independent Mormon fundamentalist author		excommunicated	excommunicated	advocating polygamy		Excommunicated for advocating polygamy. A friend of fellow excommunicants John and Vickie Singer, he later acted as mediator in the Singer-Swapp standoff.	Excommunicated for advocating polygamy. A friend of fellow excommunicants John and Vickie Singer, he later [acted as mediator in the Singer-Swapp standoff](https://www.sunstonemagazine.com/pdf/068-10-17.pdf).																			['20th Century']							
Richard McCoy, Jr.	male	https://en.wikipedia.org/wiki/Richard_McCoy_Jr.			1942	1942	1942	1942.0			1974	1974	1974	1974.0			6 Jun 1972	6 Jun 1972	6 Jun 1972	1972	Jun	6.0	Sunday School teacher, copycat skyjacker	Sunday School teacher, copycat skyjacker		excommunicated	excommunicated	['skyjacking', 'extortion']		"Excommunicated ""on the grounds of skyjacking and extortion"". Richard McCoy, Jr., hijacked a United Airlines passenger jet for ransom in 1972, four months after the more infamous D.B. Cooper carried out a similar and still-unsolved hijacking. Due to the similarity, McCoy has been considered a suspect in the D.B. Cooper crime. He was excommunicated in response to his crimes, and was shot after escaping from prison."	"[Excommunicated ""on the grounds of skyjacking and extortion""](https://web.archive.org/web/20190406214136/http://www.ldsfilm.com/movies/DBCooper.html). Richard McCoy, Jr., hijacked a United Airlines passenger jet for ransom in 1972, four months after the more infamous D.B. Cooper carried out a similar and still-unsolved hijacking. Due to the similarity, McCoy has been considered a suspect in the D.B. Cooper crime. He was excommunicated in response to his crimes, and was shot after escaping from prison."			Provo Stake	Provo Stake	Provo, Utah, Utah, United States	Provo, Utah, Utah, United States	Provo, Utah	United States	Utah	Utah	Provo		Provo, Utah, Utah, United States	United States	Utah	Utah	Provo		['20th Century']							
Vickie Singer	female																1970 or 1972	1970 or 1972	1970	1970			Polygamist, anti-government activist	Polygamist, anti-government activist		excommunicated	excommunicated			Excommunicated for refusal to sustain Joseph Fielding Smith as a prophet. Nearly a decade after her husband's death, she participated in the bombing of an LDS chapel, for which she spent five years in prison after a violent standoff.	[Excommunicated for refusal to sustain Joseph Fielding Smith as a prophet](https://reason.com/1979/07/01/man-vs-state/). Nearly a decade after her husband's death, she participated in [the bombing of an LDS chapel](https://en.wikipedia.org/wiki/Singer-Swapp_Standoff), for which she spent five years in prison after a violent standoff.					Utah, United States	Utah, United States	Utah	United States	Utah				Utah, United States	United States	Utah				['20th Century']							
Ted Bundy	male	https://en.wikipedia.org/wiki/Ted_Bundy			1946	1946	1946	1946.0			1989	1989	1989	1989.0			1976?	1976?	1976	1976			Convicted serial killer and rapist	Convicted serial killer and rapist		excommunicated	excommunicated			Excommunicated following his conviction for kidnapping. His participation in Mormonism was brief: he was baptized in August or September 1975, jailed that year, convicted in 1976, and excommunicated in response. He had already been murdering people when he joined the church. He made two dramatic escapes and three further murders before being recaptured and thrice sentenced to death. He was executed for his crimes in 1989. Temple work was performed for him posthumously.	[Excommunicated following his conviction for kidnapping](https://news.google.com/newspapers?id=xbMwAAAAIBAJ&sjid=-PoDAAAAIBAJ&dq=ted%20bundy%20mormon&pg=6890%2C1373449). His participation in Mormonism was brief: he was baptized in August or September 1975, jailed that year, convicted in 1976, and excommunicated in response. He had already been murdering people when he joined the church. He made two dramatic escapes and three further murders before being recaptured and thrice sentenced to death. He was executed for his crimes in 1989. Temple work was performed for him posthumously.					Utah, United States	Utah, United States	Utah	United States	Utah				Utah, United States	United States	Utah				['20th Century']							
Byron Merchant	male																14 Oct 1977	14 Oct 1977	14 Oct 1977	1977	Oct	14.0	Race ban protester	Race ban protester		excommunicated	excommunicated			"Excommunicated for opposition to the race-based priesthood and temple ban. His ""opposed"" vote in General Conference led to the instigation of disciplinary action against him."	"[Excommunicated for opposition to the race-based priesthood and temple ban](https://ordainwomen.org/byrons-song/). His ""opposed"" vote in General Conference led to the instigation of disciplinary action against him."																			['20th Century']							
Arthur Gary Bishop	male	https://en.wikipedia.org/wiki/Arthur_Gary_Bishop			1952	1952	1952	1952.0			1988	1988	1988	1988.0			Oct 1978	Oct 1978	Oct 1978	1978	Oct		Embezzler, serial killer, child molester	Embezzler, serial killer, child molester		excommunicated	excommunicated			Excommunicated after being convicted of embezzlement. He went on to become a serial killer and child molester.	Excommunicated after being convicted of embezzlement. He went on to become a serial killer and child molester.					Utah, United States	Utah, United States	Utah	United States	Utah				Utah, United States	United States	Utah				['20th Century']							
Sonia Johnson	female	https://en.wikipedia.org/wiki/Sonia_Johnson			1936	1936	1936	1936.0									5 Dec 1979	5 Dec 1979	5 Dec 1979	1979	Dec	5.0	Feminist	Feminist		excommunicated	excommunicated			Excommunicated for her work in promoting the Equal Rights Amendment.	Excommunicated for her work in promoting the Equal Rights Amendment.			Sterling Park, Virginia Ward	[Sterling Park, Virginia Ward](https://web.archive.org/web/20190721165118/https://www.churchofjesuschrist.org/study/ensign/1980/03/news-of-the-church/church-court-action-clarified?lang=eng)	Sterling Park, Loudoun, Virginia, United States	[Sterling Park, Loudoun, Virginia, United States](https://web.archive.org/web/20190721165118/https://www.churchofjesuschrist.org/study/ensign/1980/03/news-of-the-church/church-court-action-clarified?lang=eng)	Sterling Park, Virginia	United States	Virginia	Loudoun	Sterling Park		Sterling Park, Loudoun, Virginia, United States	United States	Virginia	Loudoun	Sterling Park		['20th Century']							
W. H. Pugmire	male	https://en.wikipedia.org/wiki/W._H._Pugmire			3 May 1951	3 May 1951	3 May 1951	1951.0	May	3.0	26 Mar 2019	26 Mar 2019	26 Mar 2019	2019.0	Mar	26.0	1980?	1980?	1980	1980			"Writer of weird and horror fiction, ""totally queer Mormon, but celibate"""	"Writer of weird and horror fiction, ""totally queer Mormon, but celibate"""		excommunicated-at-own-request	excommunicated-at-own-request			"Excommunicated at his own request in order to be ""all-the-way gay"" in Seattle in 1980. Twenty-five years later, taking the missionary discussions a meeting with Mormon missionaries reconverted him, and he rejoined the church in 2004. Writing in the vein of H. P. Lovecraft, Pugmire was described as ""perhaps the leading Lovecraftian author writing today""."	"[Excommunicated at his own request in order to be ""all-the-way gay""](https://motleyvision.org/2010/02/04/pugmire-interview/) in Seattle in 1980. Twenty-five years later, taking the missionary discussions a meeting with Mormon missionaries reconverted him, and he rejoined the church in 2004. Writing in the vein of H. P. Lovecraft, Pugmire was described as ""perhaps the leading Lovecraftian author writing today""."					Seattle, King, Washington, United States	Seattle, King, Washington, United States	Seattle, Washington	United States	Washington	King	Seattle		Seattle, King, Washington, United States	United States	Washington	King	Seattle		['20th Century']							
Teresa Nielsen Hayden	female	https://en.wikipedia.org/wiki/Teresa_Nielsen_Hayden			21 Mar 1956	21 Mar 1956	21 Mar 1956	1956.0	Mar	21.0							summer 1980	summer 1980	7 Aug 1980	1980	Aug	7.0	Writer, science fiction editor, ERA proponent	Writer, science fiction editor, ERA proponent		excommunicated	excommunicated			Excommunicated in response to a denunciatory letter she wrote church president Spencer W. Kimball upon the excommunication of Sonia Johnson.	Excommunicated [in response to a denunciatory letter](http://nielsenhayden.com/GodandI.html) she wrote church president Spencer W. Kimball upon the excommunication of Sonia Johnson.					Seattle?, King, Washington, United States	[Seattle?, King, Washington, United States](http://nielsenhayden.com/GodandI.html)	Seattle, Washington	United States	Washington	King	Seattle?		Seattle, King, Washington, United States	United States	Washington	King	Seattle		['20th Century']							
